Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set,IDT_ms_pred
181,0.24,1.25,78.01,2.73,1342.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.21535000000000004
185,0.426,1.25,78.01,3.24,1282.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.3616500000000001
189,0.646,1.25,78.01,10.67,1130.2,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.6356925000000002
190,0.492,1.25,78.01,9.19,1158.2,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.5606250000000004
191,1.438,1.25,78.01,10.38,1065.6,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.3036700000000003
192,0.114,1.25,78.01,10.35,1319.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.11985
193,0.058,1.25,78.01,10.26,1416.4,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.062375000000000014
194,0.3,1.25,78.01,10.05,1202.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.310225
198,1.418,2.47,77.05,3.27,1137.1,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.118825
200,0.251,2.47,77.05,3.16,1328.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.22215000000000007
201,0.166,2.47,77.05,2.97,1394.6,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.15665000000000007
202,0.08,2.47,77.05,3.11,1474.3,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.10060000000000001
203,0.643,2.47,77.05,3.09,1214.1,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.6333000000000002
206,0.482,2.47,77.05,10.97,1115.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.5520249999999999
207,1.021,2.47,77.05,10.34,1063.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,1.1312600000000002
209,0.056,2.47,77.05,10.22,1392.9,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.06675000000000002
210,0.084,2.47,77.05,10.54,1329.8,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.09810000000000003
211,0.278,2.47,77.05,10.2,1209.5,11.09,1.684949357,1.023221173,0.059520731,0.0,5.091725497,0.022388021,0.198154639,0.0,3.768732341,0.832154086,Training,0.2584750000000002
212,1.519,0.64,78.5,2.95,1141.1,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,1.3753499999999996
213,0.849,0.64,78.5,3.03,1205.1,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.7780000000000005
215,0.259,0.64,78.5,2.98,1320.9,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.24607500000000015
216,0.138,0.64,78.5,3.04,1409.0,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.13727499999999998
217,0.071,0.64,78.5,2.9,1475.0,11.44,0.474834098,1.983831688,0.87884685,0.0,0.183167895,0.017747095,0.003693216,0.0,0.002724768,0.0,Training,0.09215000000000005
