Point,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,PHI
386,0.689,20.86,78.45,0,0,18.5,995,0.5
387,0.689,20.86,78.45,0,0,19.8,1017,0.5
388,0.689,20.86,78.45,0,0,17.5,1031,0.5
389,0.689,20.86,78.45,0,0,20.1,1049,0.5
390,0.689,20.86,78.45,0,0,19,1052,0.5
391,0.689,20.86,78.45,0,0,20.8,1083,0.5
392,0.689,20.86,78.45,0,0,20.2,1113,0.5
393,0.689,20.86,78.45,0,0,20.3,1125,0.5
394,0.689,20.86,78.45,0,0,21,1160,0.5
395,0.689,20.86,78.45,0,0,19,1179,0.5
396,0.689,20.86,78.45,0,0,22.5,1182,0.5
397,0.689,20.86,78.45,0,0,21.9,1196,0.5
398,0.689,20.86,78.45,0,0,20.5,1215,0.5
399,0.689,20.86,78.45,0,0,21.8,1263,0.5
400,0.689,20.86,78.45,0,0,21.7,1273,0.5
401,0.689,20.86,78.45,0,0,21.4,1304,0.5
402,1.368,20.72,77.91,0,0,8,848,1
403,1.368,20.72,77.91,0,0,7.7,866,1
404,1.368,20.72,77.91,0,0,8.3,906,1
405,1.368,20.72,77.91,0,0,8.8,907,1
406,1.368,20.72,77.91,0,0,8.4,949,1
407,1.368,20.72,77.91,0,0,8.4,968,1
408,1.368,20.72,77.91,0,0,8.3,983,1
409,1.368,20.72,77.91,0,0,8.4,1003,1
410,1.368,20.72,77.91,0,0,8.1,1018,1
411,1.368,20.72,77.91,0,0,7.9,1022,1
412,1.368,20.72,77.91,0,0,8.3,1052,1
413,1.368,20.72,77.91,0,0,8,1089,1
414,1.368,20.72,77.91,0,0,7.8,1097,1
415,1.368,20.72,77.91,0,0,6.7,1099,1
416,1.368,20.72,77.91,0,0,6.1,1143,1
417,1.368,20.72,77.91,0,0,7.3,1233,1
418,1.368,20.72,77.91,0,0,8.3,1270,1
419,1.368,20.72,77.91,0,0,8.3,1327,1
420,1.368,20.72,77.91,0,0,8.2,1381,1
421,1.368,20.72,77.91,0,0,12.7,744,1
422,1.368,20.72,77.91,0,0,11.3,754,1
423,1.368,20.72,77.91,0,0,10.7,792,1
424,1.368,20.72,77.91,0,0,11.6,823,1
425,1.368,20.72,77.91,0,0,10.1,866,1
426,1.368,20.72,77.91,0,0,11.5,904,1
427,1.368,20.72,77.91,0,0,10.4,905,1
428,1.368,20.72,77.91,0,0,12,937,1
429,1.368,20.72,77.91,0,0,12,978,1
430,1.368,20.72,77.91,0,0,10.1,987,1
431,1.368,20.72,77.91,0,0,11.6,1021,1
432,1.368,20.72,77.91,0,0,12.1,1032,1
433,1.368,20.72,77.91,0,0,11.5,1046,1
434,1.368,20.72,77.91,0,0,11.2,1077,1
435,1.368,20.72,77.91,0,0,10.6,1136,1
436,1.368,20.72,77.91,0,0,10.3,1154,1
437,1.368,20.72,77.91,0,0,9.6,1210,1
438,1.368,20.72,77.91,0,0,9,1240,1
439,1.368,20.72,77.91,0,0,9,1313,1
440,1.368,20.72,77.91,0,0,20.8,674,1
441,1.368,20.72,77.91,0,0,21.8,680,1
442,1.368,20.72,77.91,0,0,21.3,681,1
443,1.368,20.72,77.91,0,0,23.5,700,1
444,1.368,20.72,77.91,0,0,23.7,703,1
445,1.368,20.72,77.91,0,0,23.4,704,1
446,1.368,20.72,77.91,0,0,24.3,717,1
