Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
243,0.058,1.25,20.74,78.01,10.26,1416.4,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.06891399999999996
244,0.3,1.25,20.74,78.01,10.05,1202.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.6054499999999995
248,1.418,2.47,20.48,77.05,3.27,1137.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.4885300000000024
249,0.39,2.47,20.48,77.05,2.9,1281.7,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.43083000000000027
251,0.166,2.47,20.48,77.05,2.97,1394.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.1826370000000001
252,0.08,2.47,20.48,77.05,3.11,1474.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.09593499999999874
253,0.643,2.47,20.48,77.05,3.09,1214.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.6358300000000003
256,0.482,2.47,20.48,77.05,10.97,1115.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.5700921999999998
259,0.056,2.47,20.48,77.05,10.22,1392.9,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.07503890000000003
260,0.084,2.47,20.48,77.05,10.54,1329.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.09724899999999986
261,0.278,2.47,20.48,77.05,10.2,1209.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.27254399999999984
262,1.519,0.64,20.86,78.5,2.95,1141.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.4116200000000019
264,0.51,0.64,20.86,78.5,3.05,1259.3,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.47204
265,0.259,0.64,20.86,78.5,2.98,1320.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.2785700000000001
266,0.138,0.64,20.86,78.5,3.04,1409.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.13194199999999995
267,0.071,0.64,20.86,78.5,2.9,1475.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.07942679999999998
268,1.54,0.64,20.86,78.5,10.03,1081.3,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.4191050000000014
270,0.497,0.64,20.86,78.5,9.85,1192.5,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.49282521
272,0.222,0.64,20.86,78.5,10.29,1276.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.2162726100000001
273,0.145,0.64,20.86,78.5,10.43,1324.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.13809835999999956
274,0.093,0.64,20.86,78.5,9.7,1380.2,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.09167199999999996
275,0.068,0.64,20.86,78.5,9.84,1439.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.06612395099999929
277,0.997,1.27,20.73,78.0,2.94,1189.2,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.9290600000000001
278,0.655,1.27,20.73,78.0,3.02,1224.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.5982900000000003
279,0.326,1.27,20.73,78.0,2.94,1288.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.3628300000000002
280,0.207,1.27,20.73,78.0,3.04,1356.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.2013320000000003
282,0.06,1.27,20.73,78.0,3.0,1499.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.06532982399999995
283,1.18,1.27,20.73,78.0,9.91,1096.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.1111540000000009
285,0.38,1.27,20.73,78.0,9.86,1192.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.4274328200000001
286,0.226,1.27,20.73,78.0,9.98,1248.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.22653379999999992
287,0.17,1.27,20.73,78.0,9.99,1299.2,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.17336916
288,0.099,1.27,20.73,78.0,10.2,1361.5,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.09602900000000009
289,0.065,1.27,20.73,78.0,10.06,1423.7,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.0732260120000001
290,1.47,2.5,20.48,77.02,2.96,1143.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.6279499999999987
292,0.49,2.5,20.48,77.02,3.04,1257.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.6491500000000001
293,0.299,2.5,20.48,77.02,2.96,1313.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.3021099999999999
295,0.13,2.5,20.48,77.02,2.88,1414.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.14420500000000014
296,0.072,2.5,20.48,77.02,2.97,1494.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.09680500000000003
