Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
170,0.408,1.27,20.73,78.0,10.31,1164.4,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.37220000000000003
171,0.246,1.27,20.73,78.0,9.48,1221.8,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.21719999999999998
172,0.116,1.27,20.73,78.0,10.24,1313.9,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.11319999999999997
173,0.086,1.27,20.73,78.0,9.49,1367.3,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.0654
174,0.054,1.27,20.73,78.0,9.88,1441.9,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.0522
175,1.404,2.5,20.48,77.03,10.25,1039.5,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,1.2948000000000002
177,0.446,2.5,20.48,77.03,10.77,1132.2,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,2.2694
179,0.148,2.5,20.48,77.03,9.73,1285.1,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.1354
180,0.07,2.5,20.48,77.03,9.82,1388.9,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.06680000000000001
181,0.052,2.5,20.48,77.03,10.61,1437.0,11.06656,33.24736,36.64036,3.61921,4.4842,20.649,Training,0.06399999999999932
184,1.027,0.64,20.87,78.5,10.24,1111.0,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.8966000000000002
187,0.25,0.64,20.87,78.5,10.01,1260.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.22040000000000004
189,0.152,0.64,20.87,78.5,10.5,1328.8,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.15360000000000001
191,0.069,0.64,20.87,78.5,9.59,1470.2,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.06000000000000001
193,1.128,1.27,20.73,78.0,10.55,1072.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,1.0162000000000002
195,0.464,1.27,20.73,78.0,10.12,1155.7,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.4016
196,0.323,1.27,20.73,78.0,10.14,1207.1,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.2902
