Point,IDT_ms,X_Fuel,X_N2,P,T,Formula_C,n-C9,n-C14,n-C15,n-C18,mono-c-C12,mono-c-C15,poly-c-C14,poly-c-C15,aro-C11,aro-C13,Set
114,0.118,0.64,78.5,9.94,1346.6,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
115,0.074,0.64,78.5,10.32,1420.7,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
117,1.296,1.27,78.0,10.27,1060.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Validation
118,0.93,1.27,78.0,9.72,1086.8,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
119,0.71,1.27,78.0,10.13,1105.7,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Validation
120,0.408,1.27,78.0,10.31,1164.4,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
122,0.116,1.27,78.0,10.24,1313.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
123,0.086,1.27,78.0,9.49,1367.3,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Validation
124,0.054,1.27,78.0,9.88,1441.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
125,1.404,2.5,77.03,10.25,1039.5,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Validation
126,0.948,2.5,77.03,10.34,1063.3,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
127,0.446,2.5,77.03,10.77,1132.2,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
128,0.276,2.5,77.03,9.73,1186.5,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
130,0.07,2.5,77.03,9.82,1388.9,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Validation
131,0.052,2.5,77.03,10.61,1437.0,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Training
132,0.04,2.5,77.03,10.56,1486.1,11.153,1.022847159,0.898999666,0.160814737,0.003741824,3.894257905,0.233603857,1.86637469,0.471071417,0.135860155,0.686735022,Validation
133,1.17,0.64,78.5,9.85,1093.3,11.237,1.470850995,1.239943509,0.361005011,0.008540586,4.032195763,0.395770795,1.75017473,0.503022943,0.19329253,0.610733767,Validation
