Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,n-i-alkanes,cyclic-alkanes,Aromatics,Formula_H,Set,IDT_ms_pred
325,10.05,2.5,20.48,77.02,10.05,1453.3,66.12003412,19.17117334,11.32820999,21.29,Training,8.02750858211737
327,0.959,0.64,20.87,78.5,10.5,1122.4,97.36303,2.57103,0.07964,28.93,Training,0.8336014866838979
328,0.616,0.64,20.87,78.5,9.29,1163.0,97.36303,2.57103,0.07964,28.93,Training,0.5449347509635679
329,0.304,0.64,20.87,78.5,9.8,1238.8,97.36303,2.57103,0.07964,28.93,Training,0.31866099714390894
330,0.104,0.64,20.87,78.5,10.18,1360.7,97.36303,2.57103,0.07964,28.93,Training,0.20600058979342092
331,0.064,0.64,20.87,78.5,9.68,1477.3,97.36303,2.57103,0.07964,28.93,Training,0.17828304265392428
332,1.288,1.27,20.73,78.0,9.43,1074.3,97.36303,2.57103,0.07964,28.93,Training,1.056091077663915
333,0.548,1.27,20.73,78.0,10.01,1150.4,97.36303,2.57103,0.07964,28.93,Training,0.5414882859091424
334,0.344,1.27,20.73,78.0,10.27,1213.6,97.36303,2.57103,0.07964,28.93,Training,0.2815900358155578
335,0.174,1.27,20.73,78.0,9.92,1295.5,97.36303,2.57103,0.07964,28.93,Training,0.22124739201036225
336,0.089,1.27,20.73,78.0,10.08,1405.1,97.36303,2.57103,0.07964,28.93,Training,0.16755575768606087
337,0.053,1.27,20.73,78.0,9.91,1493.3,97.36303,2.57103,0.07964,28.93,Training,0.1436699290902684
338,1.215,2.5,20.48,77.03,10.18,1067.0,97.36303,2.57103,0.07964,28.93,Training,1.079367076504922
340,0.266,2.5,20.48,77.03,10.12,1205.5,97.36303,2.57103,0.07964,28.93,Training,0.4865393354766922
341,0.119,2.5,20.48,77.03,10.12,1306.5,97.36303,2.57103,0.07964,28.93,Training,0.4060894666317159
342,0.04,2.5,20.48,77.03,9.85,1470.2,97.36303,2.57103,0.07964,28.93,Training,0.19803517968064926
343,1.592,0.64,20.87,78.5,9.71,1086.7,85.64918,8.76981,4.1087,26.77,Training,1.2102904020300367
344,0.754,0.64,20.87,78.5,9.77,1138.8,85.64918,8.76981,4.1087,26.77,Training,0.7870927090724397
346,0.298,0.64,20.87,78.5,9.7,1233.2,85.64918,8.76981,4.1087,26.77,Training,0.32232865510613445
347,0.104,0.64,20.87,78.5,9.69,1330.9,85.64918,8.76981,4.1087,26.77,Training,0.25236634832467364
348,0.072,0.64,20.87,78.5,9.82,1388.7,85.64918,8.76981,4.1087,26.77,Training,0.19978153143443783
349,0.053,0.64,20.87,78.5,9.74,1432.2,85.64918,8.76981,4.1087,26.77,Training,0.19978153143443783
350,1.572,1.27,20.73,78.0,10.41,1066.5,85.64918,8.76981,4.1087,26.77,Training,1.2291186022965708
352,0.37,1.27,20.73,78.0,9.74,1187.0,85.64918,8.76981,4.1087,26.77,Training,0.45394211843508186
353,0.134,1.27,20.73,78.0,9.8,1288.6,85.64918,8.76981,4.1087,26.77,Training,0.24665919006811793
354,0.055,1.27,20.73,78.0,9.82,1388.8,85.64918,8.76981,4.1087,26.77,Training,0.17068828162777822
355,1.802,2.5,20.48,77.03,10.27,1060.5,85.64918,8.76981,4.1087,26.77,Training,1.2196826955132682
357,0.354,2.5,20.48,77.03,9.92,1195.9,85.64918,8.76981,4.1087,26.77,Training,0.5259722386435564
359,0.124,2.5,20.48,77.03,10.56,1329.9,85.64918,8.76981,4.1087,26.77,Training,0.2905147046363613
