Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
364,4.608,0.346,20.94,78.72,18.9,924.0,19.91,Training,5.336383333333336
367,1.525,0.346,20.94,78.72,21.3,1016.0,19.91,Training,0.9767574406752664
368,1.067,0.346,20.94,78.72,18.7,1041.0,19.91,Training,0.8760734752446453
369,1.094,0.346,20.94,78.72,22.3,1055.0,19.91,Training,0.5398969114297774
373,0.45,0.346,20.94,78.72,20.7,1133.0,19.91,Training,0.45019367742667654
375,0.153,0.346,20.94,78.72,21.1,1230.0,19.91,Training,0.20341848752124092
377,0.075,0.346,20.94,78.72,20.5,1305.0,19.91,Training,0.14513418997578573
379,3.035,0.689,20.86,78.45,20.8,743.0,19.91,Training,2.576299795972443
380,3.594,0.689,20.86,78.45,19.6,785.0,19.91,Training,2.576299795972443
382,3.358,0.689,20.86,78.45,21.6,854.0,19.91,Training,2.576299795972443
383,3.202,0.689,20.86,78.45,18.3,879.0,19.91,Training,2.576299795972443
385,2.165,0.689,20.86,78.45,20.1,950.0,19.91,Training,1.5389220524556813
386,1.239,0.689,20.86,78.45,18.5,995.0,19.91,Training,1.3215422187758479
388,0.997,0.689,20.86,78.45,17.5,1031.0,19.91,Training,0.8760734752446453
391,0.609,0.689,20.86,78.45,20.8,1083.0,19.91,Training,0.4789252079910985
393,0.298,0.689,20.86,78.45,20.3,1125.0,19.91,Training,0.45019367742667654
395,0.18,0.689,20.86,78.45,19.0,1179.0,19.91,Training,0.3694081987222335
396,0.156,0.689,20.86,78.45,22.5,1182.0,19.91,Training,0.3694081987222335
398,0.107,0.689,20.86,78.45,20.5,1215.0,19.91,Training,0.2469140534460751
399,0.069,0.689,20.86,78.45,21.8,1263.0,19.91,Training,0.20341848752124092
401,0.056,0.689,20.86,78.45,21.4,1304.0,19.91,Training,0.14513418997578573
403,7.204,1.368,20.72,77.91,7.7,866.0,19.91,Training,5.869216000000001
405,5.07,1.368,20.72,77.91,8.8,907.0,19.91,Training,4.557466000000001
407,2.486,1.368,20.72,77.91,8.4,968.0,19.91,Training,1.6481627899517983
410,1.811,1.368,20.72,77.91,8.1,1018.0,19.91,Training,1.5165451709041795
414,0.538,1.368,20.72,77.91,7.8,1097.0,19.91,Training,0.553024838832275
416,0.371,1.368,20.72,77.91,6.1,1143.0,19.91,Training,0.553024838832275
417,0.158,1.368,20.72,77.91,7.3,1233.0,19.91,Training,0.20341848752124092
418,0.118,1.368,20.72,77.91,8.3,1270.0,19.91,Training,0.20341848752124092
419,0.07,1.368,20.72,77.91,8.3,1327.0,19.91,Training,0.14513418997578573
420,0.041,1.368,20.72,77.91,8.2,1381.0,19.91,Training,0.10701666189487646
421,5.617,1.368,20.72,77.91,12.7,744.0,19.91,Training,5.401657976190477
423,6.762,1.368,20.72,77.91,10.7,792.0,19.91,Training,6.0061004761904755
427,3.104,1.368,20.72,77.91,10.4,905.0,19.91,Training,4.221343142857144
429,1.668,1.368,20.72,77.91,12.0,978.0,19.91,Training,1.6481627899517983
431,1.169,1.368,20.72,77.91,11.6,1021.0,19.91,Training,1.5165451709041795
434,0.559,1.368,20.72,77.91,11.2,1077.0,19.91,Training,0.9568435792816438
435,0.298,1.368,20.72,77.91,10.6,1136.0,19.91,Training,0.45019367742667654
442,5.821,1.368,20.72,77.91,21.3,681.0,19.91,Training,3.9765875000000004
443,3.887,1.368,20.72,77.91,23.5,700.0,19.91,Training,3.5897875
448,1.871,1.368,20.72,77.91,23.7,737.0,19.91,Training,1.9559748977823976
449,1.842,1.368,20.72,77.91,20.9,750.0,19.91,Training,1.9559748977823976
455,1.616,1.368,20.72,77.91,21.5,802.0,19.91,Training,1.9559748977823976
456,1.625,1.368,20.72,77.91,23.2,803.0,19.91,Training,1.9559748977823976
461,2.038,1.368,20.72,77.91,20.5,836.0,19.91,Training,1.9559748977823976
465,1.908,1.368,20.72,77.91,21.8,851.0,19.91,Training,1.9559748977823976
467,2.032,1.368,20.72,77.91,21.6,882.0,19.91,Training,1.9559748977823976
470,1.675,1.368,20.72,77.91,22.7,940.0,19.91,Training,1.2278408700572494
